study_id,Obs,Ambient CO2 (ppm),Elevated CO2 (ppm),CO2 difference (ppm),Treatment duration (years),Latitude,Longitude,Country,Fercility ,Unit,Other treatments,Data location,Notes,Nitrogen addition,Ecosystem,Vegetation,,mean_ctrl,mean_trt,SD_ctrl,SD_trt,N_ctrl,N_trt,lnR,Var(lnR),Mean_a,Mean_e,Std_a,Std_e,N_a,N_e,lnR,Var(lnR),,Mean_a,Mean_e,Std_a,Std_e,N_a,N_e,lnR,Var(lnR),
Tobita et al. 2010,77,360,720,360,2,43° N,141°E,Japan,GC,mmole C2H4 plant-1 h-1,Low P & dry,Fig. 2 * Fig. 1,*,No,Forest,Alnus hirsuta,C2H2,1.3461,3.4396,0.0635,0.2539,6,6,0.9381,0.0013,,1.3461,3.4396,0.0635,0.2539,6,6,0.9381,0.0013,,*,*,*,*,*,*,*,*
Tobita et al. 2010,78,360,720,360,2,43° N,141°E,Japan,GC,mmole C2H4 plant-1 h-1,High P & wet,Fig. 2 * Fig. 1,*,No,Forest,Alnus maximowiczii ,C2H2,11.5712,15.9696,0.9257,1.3965,6,6,0.3222,0.0023,,11.5712,15.9696,0.9257,1.3965,6,6,0.3222,0.0023,,*,*,*,*,*,*,*,*
Tobita et al. 2010,79,360,720,360,2,43° N,141°E,Japan,GC,mmole C2H4 plant-1 h-1,High P & dry,Fig. 2 * Fig. 1,*,No,Forest,Alnus maximowiczii ,C2H2,8.6471,8.9696,0.3386,0.3297,6,6,0.0366,0.0005,,8.6471,8.9696,0.3386,0.3297,6,6,0.0366,0.0005,,*,*,*,*,*,*,*,*
Tobita et al. 2010,80,360,720,360,2,43° N,141°E,Japan,GC,mmole C2H4 plant-1 h-1,Low P & wet,Fig. 2 * Fig. 1,*,No,Forest,Alnus maximowiczii ,C2H2,2.585,2.2028,0.238,0.1411,6,6,-0.16,0.0021,,2.585,2.2028,0.238,0.1411,6,6,-0.16,0.0021,,*,*,*,*,*,*,*,*
Tobita et al. 2010,81,360,720,360,2,43° N,141°E,Japan,GC,mmole C2H4 plant-1 h-1,Low P & dry,Fig. 2 * Fig. 1,*,No,Forest,Alnus maximowiczii ,C2H2,1.552,1.4397,0.2962,0.1058,6,6,-0.0751,0.007,,1.552,1.4397,0.2962,0.1058,6,6,-0.0751,0.007,,*,*,*,*,*,*,*,*
West et al. 2005,82,370,560,190,4,45° N,93° W,USA,FACE,g N m-2 y-1,Nitrogen,"Fig. 2, persoNitrogenasel communication",*,Yes,Grassland,*,Isotope,8.3434,8.525,0.8772,0.8302,2,2,0.0215,0.0103,,*,*,*,*,*,*,*,*,,8.3434,8.525,0.8772,0.8302,2,2,0.0215,0.0103
West et al. 2005,83,370,560,190,4,45° N,93° W,USA,FACE,g N m-2 y-1,No,"Fig. 2, persoNitrogenasel communication",*,No,Grassland,*,Isotope,0.6163,0.5907,0.0749,0.0791,2,2,-0.0424,0.0164,,*,*,*,*,*,*,*,*,,0.6163,0.5907,0.0749,0.0791,2,2,-0.0424,0.0164
Zanetti et al. 1996,84,350,600,250,3,47°27'N,8°41'E,Switzerland,FACE,g N m-2,Low Nitrogen,Table I,17 g N m-2,Yes,Cropland,White clover,Isotope,25.4,32.2333,2.54,3.2233,3,3,0.2383,0.0067,,25.4,32.2333,2.54,3.2233,3,3,0.2383,0.0067,,*,*,*,*,*,*,*,*
Zanetti et al. 1996,85,350,600,250,3,47°27'N,8°41'E,Switzerland,FACE,g N m-2,High Nitrogen,Table I,51.3 g N m-2,Yes,Cropland,White clover,Isotope,14.7,19.2,1.47,1.92,3,3,0.2671,0.0067,,14.7,19.2,1.47,1.92,3,3,0.2671,0.0067,,*,*,*,*,*,*,*,*
Zanetti et al. 1996,86,350,600,250,3,47°27'N,8°41'E,Switzerland,FACE,g N m-2,Low Nitrogen,Table I,17 g N m-2,Yes,Cropland,White clover & ryegrass,Isotope,19.1,27.4667,1.91,2.7467,3,3,0.3633,0.0067,,19.1,27.4667,1.91,2.7467,3,3,0.3633,0.0067,,*,*,*,*,*,*,*,*
Zanetti et al. 1996,87,350,600,250,3,47°27'N,8°41'E,Switzerland,FACE,g N m-2,High Nitrogen,Table I,51.3 g N m-2,Yes,Cropland,White clover & ryegrass,Isotope,7.3667,13.7,0.7367,1.37,3,3,0.6204,0.0067,,7.3667,13.7,0.7367,1.37,3,3,0.6204,0.0067,,*,*,*,*,*,*,*,*
