study_id,MAT,MAP (mm),_Whole-day,Facility,Facility-1,Experimental duration (month),Other treatments,Expeimental type,Latitude,Plant part-1,Plant part-2,mean_ctrl,mean_trt,SD_ctrl,SD_trt,N_ctrl,N_trt,Unit,Response ratio,Variance of response ratio,species,PFT-1,PFT-2,PFT-3,PFT-4
Dukes et al. 2005,15,655,1,IR-heat,Free-air,44,water,field,37.4,belowground,root,383.56,292.24,258.3,335.8,8,8,g/m2,-0.27,0.22,,,,,
Dukes et al. 2005,15,655,1,IR-heat,Free-air,56,water,field,37.4,belowground,root,310.5,255.71,335.8,167.9,8,8,g/m2,-0.19,0.2,,,,,
Dukes et al. 2005,15,655,1,IR-heat,Free-air,8,water,field,37.4,total,,697.67,720.93,131.55,98.67,8,8,g/m2,0.03,0.01,,,,,
Dukes et al. 2005,15,655,1,IR-heat,Free-air,20,water,field,37.4,total,,802.33,930.23,230.22,493.33,8,8,g/m2,0.15,0.05,,,,,
Dukes et al. 2005,15,655,1,IR-heat,Free-air,32,water,field,37.4,total,,877.91,1040.7,197.33,197.33,8,8,g/m2,0.17,0.01,,,,,
Dukes et al. 2005,15,655,1,IR-heat,Free-air,44,water,field,37.4,total,,947.67,750,328.89,263.11,8,8,g/m2,-0.23,0.03,,,,,
Dukes et al. 2005,15,655,1,IR-heat,Free-air,56,water,field,37.4,total,,116.28,720.93,2236.43,131.55,8,8,g/m2,1.82,46.24,,,,,
Dukes et al. 2005,15,655,1,IR-heat,Free-air,8,,field,37.4,aboveground,shoot,390.63,617.19,88.39,243.07,8,8,g/m2,0.46,0.03,,,,,
Dukes et al. 2005,15,655,1,IR-heat,Free-air,20,,field,37.4,aboveground,shoot,546.88,460.94,132.58,132.58,8,8,g/m2,-0.17,0.02,,,,,
Dukes et al. 2005,15,655,1,IR-heat,Free-air,32,,field,37.4,aboveground,shoot,554.69,625,154.68,243.07,8,8,g/m2,0.12,0.03,,,,,
Dukes et al. 2005,15,655,1,IR-heat,Free-air,44,,field,37.4,aboveground,shoot,421.88,507.81,44.19,110.49,8,8,g/m2,0.19,0.01,,,,,
Dukes et al. 2005,15,655,1,IR-heat,Free-air,56,,field,37.4,aboveground,shoot,507.81,554.69,154.68,220.97,8,8,g/m2,0.09,0.03,,,,,
Dukes et al. 2005,15,655,1,IR-heat,Free-air,8,,field,37.4,belowground,root,196.35,205.48,51.66,77.49,8,8,g/m2,0.05,0.03,,,,,
Dukes et al. 2005,15,655,1,IR-heat,Free-air,20,,field,37.4,belowground,root,347.03,474.89,77.49,206.64,8,8,g/m2,0.31,0.03,,,,,
Dukes et al. 2005,15,655,1,IR-heat,Free-air,32,,field,37.4,belowground,root,388.13,356.16,129.15,90.41,8,8,g/m2,-0.09,0.02,,,,,
Dukes et al. 2005,15,655,1,IR-heat,Free-air,44,,field,37.4,belowground,root,342.47,347.03,193.73,335.8,8,8,g/m2,0.01,0.16,,,,,
Dukes et al. 2005,15,655,1,IR-heat,Free-air,56,,field,37.4,belowground,root,278.54,255.71,154.98,193.73,8,8,g/m2,-0.09,0.11,,,,,
Dukes et al. 2005,15,655,1,IR-heat,Free-air,8,,field,37.4,total,,593.02,825.58,98.67,230.22,8,8,g/m2,0.33,0.01,,,,,
Dukes et al. 2005,15,655,1,IR-heat,Free-air,20,,field,37.4,total,,906.98,941.86,328.89,230.22,8,8,g/m2,0.04,0.02,,,,,
Dukes et al. 2005,15,655,1,IR-heat,Free-air,32,,field,37.4,total,,936.05,982.56,197.33,197.33,8,8,g/m2,0.05,0.01,,,,,
Dukes et al. 2005,15,655,1,IR-heat,Free-air,44,,field,37.4,total,,750,854.65,197.33,361.78,8,8,g/m2,0.13,0.03,,,,,
Dukes et al. 2005,15,655,1,IR-heat,Free-air,56,,field,37.4,total,,69.77,81.4,2236.43,2302.21,8,8,g/m2,0.15,228.44,,,,,
Erice et al. 2006,,,4,Temperature-gradient-tunnel,Greenhouse,1,CO2,pot,,aboveground,leaf,0.68,0.75,0.16,0.13,8,8,g/plant,0.09,0.01,Medicago sativa cv. Arag?n,seed plant,herbaceous,forb,leguminous
Erice et al. 2006,,,4,Temperature-gradient-tunnel,Greenhouse,1,CO2,pot,,aboveground,leaf,0.02,0.02,0,0.01,8,8,g/plant,0.14,0.02,Medicago sativa cv. Arag?n,seed plant,herbaceous,forb,leguminous
Erice et al. 2006,,,4,Temperature-gradient-tunnel,Greenhouse,1,CO2,pot,,aboveground,stem,0.49,0.63,0.08,0.04,8,8,g/plant,0.25,0,Medicago sativa cv. Arag?n,seed plant,herbaceous,forb,leguminous
Erice et al. 2006,,,4,Temperature-gradient-tunnel,Greenhouse,1,CO2,pot,,belowground,root,1.24,1.52,0.17,0.4,8,8,g/plant,0.2,0.01,Medicago sativa cv. Arag?n,seed plant,herbaceous,forb,leguminous
Erice et al. 2006,,,4,Temperature-gradient-tunnel,Greenhouse,1,drought,pot,,aboveground,leaf,0.2,0.35,0.07,0.09,8,8,g/plant,0.58,0.03,Medicago sativa cv. Arag?n,seed plant,herbaceous,forb,leguminous
Erice et al. 2006,,,4,Temperature-gradient-tunnel,Greenhouse,1,drought,pot,,aboveground,leaf,0.01,0.02,0,0,8,8,g/plant,0.42,0.01,Medicago sativa cv. Arag?n,seed plant,herbaceous,forb,leguminous
Erice et al. 2006,,,4,Temperature-gradient-tunnel,Greenhouse,1,drought,pot,,aboveground,stem,0.17,0.19,0.06,0.04,8,8,g/plant,0.12,0.02,Medicago sativa cv. Arag?n,seed plant,herbaceous,forb,leguminous
Erice et al. 2006,,,4,Temperature-gradient-tunnel,Greenhouse,1,drought,pot,,belowground,root,1.02,1.08,0.11,0.17,8,8,g/plant,0.06,0,Medicago sativa cv. Arag?n,seed plant,herbaceous,forb,leguminous
Erice et al. 2006,,,4,Temperature-gradient-tunnel,Greenhouse,1,drought+CO2,pot,,aboveground,leaf,0.32,0.41,0.07,0.03,8,8,g/plant,0.24,0.01,Medicago sativa cv. Arag?n,seed plant,herbaceous,forb,leguminous
Erice et al. 2006,,,4,Temperature-gradient-tunnel,Greenhouse,1,drought+CO2,pot,,aboveground,leaf,0.01,0.01,0,0,8,8,g/plant,0.09,0.01,Medicago sativa cv. Arag?n,seed plant,herbaceous,forb,leguminous
Erice et al. 2006,,,4,Temperature-gradient-tunnel,Greenhouse,1,drought+CO2,pot,,aboveground,stem,0.23,0.24,0.02,0.05,8,8,g/plant,0.05,0.01,Medicago sativa cv. Arag?n,seed plant,herbaceous,forb,leguminous
Erice et al. 2006,,,4,Temperature-gradient-tunnel,Greenhouse,1,drought+CO2,pot,,belowground,root,1.08,1.08,0.17,0.23,8,8,g/plant,0,0.01,Medicago sativa cv. Arag?n,seed plant,herbaceous,forb,leguminous
Erice et al. 2006,,,4,Temperature-gradient-tunnel,Greenhouse,1,,pot,,aboveground,leaf,0.46,0.42,0.06,0.1,8,8,g/plant,-0.09,0.01,Medicago sativa cv. Arag?n,seed plant,herbaceous,forb,leguminous
Erice et al. 2006,,,4,Temperature-gradient-tunnel,Greenhouse,1,,pot,,aboveground,leaf,0.01,0.02,0.01,0,8,8,g/plant,0.4,0.03,Medicago sativa cv. Arag?n,seed plant,herbaceous,forb,leguminous
Erice et al. 2006,,,4,Temperature-gradient-tunnel,Greenhouse,1,,pot,,aboveground,stem,0.33,0.42,0.1,0.06,8,8,g/plant,0.23,0.01,Medicago sativa cv. Arag?n,seed plant,herbaceous,forb,leguminous
Erice et al. 2006,,,4,Temperature-gradient-tunnel,Greenhouse,1,,pot,,belowground,root,0.92,1.4,0.23,0.23,8,8,g/plant,0.42,0.01,Medicago sativa cv. Arag?n,seed plant,herbaceous,forb,leguminous
Ferris et al. 1996,,,4,Greenhouse,Greenhouse,1,CO2,pot,,aboveground,shoot,3.53,4.26,2.02,2.45,20,20,g,0.19,0.03,Lolium perenne cv. Vigor,seed plant,herbaceous,grass,
Ferris et al. 1996,,,4,Greenhouse,Greenhouse,2,CO2,pot,,aboveground,shoot,5.73,5.84,2.16,1.88,20,20,g,0.02,0.01,Lolium perenne cv. Vigor,seed plant,herbaceous,grass,
Ferris et al. 1996,,,4,Greenhouse,Greenhouse,3,CO2,pot,,aboveground,shoot,9.44,6.9,2.6,1.88,20,20,g,-0.31,0.01,Lolium perenne cv. Vigor,seed plant,herbaceous,grass,
Ferris et al. 1996,,,4,Greenhouse,Greenhouse,4,CO2,pot,,aboveground,shoot,7.05,5.45,3.17,1.88,20,20,g,-0.26,0.02,Lolium perenne cv. Vigor,seed plant,herbaceous,grass,
Ferris et al. 1996,,,4,Greenhouse,Greenhouse,5,CO2,pot,,aboveground,shoot,8.34,7.03,3.9,1.3,20,20,g,-0.17,0.01,Lolium perenne cv. Vigor,seed plant,herbaceous,grass,
Ferris et al. 1996,,,4,Greenhouse,Greenhouse,1,,pot,,aboveground,shoot,4.94,3.71,2.02,2.16,20,20,g,-0.29,0.03,Lolium perenne cv. Vigor,seed plant,herbaceous,grass,
Ferris et al. 1996,,,4,Greenhouse,Greenhouse,2,,pot,,aboveground,shoot,6.05,5.19,1.73,1.44,20,20,g,-0.15,0.01,Lolium perenne cv. Vigor,seed plant,herbaceous,grass,
Ferris et al. 1996,,,4,Greenhouse,Greenhouse,3,,pot,,aboveground,shoot,7.73,5.19,2.02,1.59,20,20,g,-0.4,0.01,Lolium perenne cv. Vigor,seed plant,herbaceous,grass,
Ferris et al. 1996,,,4,Greenhouse,Greenhouse,4,,pot,,aboveground,shoot,4.5,4.24,1.59,2.31,20,20,g,-0.06,0.02,Lolium perenne cv. Vigor,seed plant,herbaceous,grass,
Ferris et al. 1996,,,4,Greenhouse,Greenhouse,5,,pot,,aboveground,shoot,8.11,4.63,2.02,1.01,20,20,g,-0.56,0.01,Lolium perenne cv. Vigor,seed plant,herbaceous,grass,
Fukui 2000,,,4,Environment-controlled-chamber,Chamber,2,,pot,,aboveground,leaf,18.5,21.2,6.28,5.28,5,5,g,0.14,0.04,Morus alba L. cv. Shinn-ichinose,seed plant,woody,tree,deciduous-tree
Fukui 2000,,,4,Environment-controlled-chamber,Chamber,2,,pot,,aboveground,leaf,13.9,21.1,3.07,2.51,7,7,g,0.42,0.01,Morus alba L. cv. Shinn-ichinose,seed plant,woody,tree,deciduous-tree
Fukui 2000,,,4,Environment-controlled-chamber,Chamber,2,,pot,,belowground,root,11.5,10.5,2.26,3.33,5,5,g,-0.09,0.03,Morus alba L. cv. Shinn-ichinose,seed plant,woody,tree,deciduous-tree
Fukui 2000,,,4,Environment-controlled-chamber,Chamber,2,,pot,,belowground,root,7.5,6.7,1.97,0.69,5,5,g,-0.11,0.02,Morus alba L. cv. Shinn-ichinose,seed plant,woody,tree,deciduous-tree
Fukui 2000,,,4,Environment-controlled-chamber,Chamber,2,,pot,,aboveground,shoot,24.6,29,8.83,9.1,5,5,g,0.16,0.05,Morus alba L. cv. Shinn-ichinose,seed plant,woody,tree,deciduous-tree
Fukui 2000,,,4,Environment-controlled-chamber,Chamber,2,,pot,,aboveground,shoot,18.9,29.7,4.07,3.73,5,5,g,0.45,0.01,Morus alba L. cv. Shinn-ichinose,seed plant,woody,tree,deciduous-tree
Fukui 2000,,,4,Environment-controlled-chamber,Chamber,2,,pot,,aboveground,stem,6.1,7.9,2.55,3.87,5,5,g,0.26,0.08,Morus alba L. cv. Shinn-ichinose,seed plant,woody,tree,deciduous-tree
Fukui 2000,,,4,Environment-controlled-chamber,Chamber,2,,pot,,aboveground,stem,5,8.5,1.75,1.96,7,7,g,0.53,0.03,Morus alba L. cv. Shinn-ichinose,seed plant,woody,tree,deciduous-tree
Fukui 2000,,,4,Environment-controlled-chamber,Chamber,2,,pot,,aboveground,stem,19.6,18.3,1.36,2.46,5,5,g,-0.07,0,Morus alba L. cv. Shinn-ichinose,seed plant,woody,tree,deciduous-tree
Fukui 2000,,,4,Environment-controlled-chamber,Chamber,2,,pot,,aboveground,stem,18.4,16.6,2.01,0.83,5,5,g,-0.1,0,Morus alba L. cv. Shinn-ichinose,seed plant,woody,tree,deciduous-tree
Fukui 2000,,,4,Environment-controlled-chamber,Chamber,2,,pot,,aboveground,stem,0.1,0.09,0.04,0.05,5,5,g/cm,-0.06,0.1,Morus alba L. cv. Shinn-ichinose,seed plant,woody,tree,deciduous-tree
Fukui 2000,,,4,Environment-controlled-chamber,Chamber,2,,pot,,aboveground,stem,0.07,0.09,0.04,0.03,7,7,g/cm,0.16,0.07,Morus alba L. cv. Shinn-ichinose,seed plant,woody,tree,deciduous-tree
Fukui 2000,,,4,Environment-controlled-chamber,Chamber,2,,pot,,total,,55.7,57.8,12.3,14.69,5,5,g,0.04,0.02,Morus alba L. cv. Shinn-ichinose,seed plant,woody,tree,deciduous-tree
Fukui 2000,,,4,Environment-controlled-chamber,Chamber,2,,pot,,total,,45.7,53.1,7.83,4.43,5,5,g,0.15,0.01,Morus alba L. cv. Shinn-ichinose,seed plant,woody,tree,deciduous-tree
Fukui 2000,,,8,Environment-controlled-chamber,Chamber,2,,pot,,aboveground,leaf,18.5,36.1,6.28,7.13,5,5,g,0.67,0.03,Morus alba L. cv. Shinn-ichinose,seed plant,woody,tree,deciduous-tree
Fukui 2000,,,8,Environment-controlled-chamber,Chamber,2,,pot,,aboveground,leaf,18.5,36.9,6.28,6.13,5,5,g,0.69,0.03,Morus alba L. cv. Shinn-ichinose,seed plant,woody,tree,deciduous-tree
Fukui 2000,,,8,Environment-controlled-chamber,Chamber,2,,pot,,aboveground,leaf,13.9,28.9,3.07,5.42,7,7,g,0.73,0.01,Morus alba L. cv. Shinn-ichinose,seed plant,woody,tree,deciduous-tree
Fukui 2000,,,8,Environment-controlled-chamber,Chamber,2,,pot,,aboveground,leaf,13.9,28.7,3.07,2.59,7,7,g,0.73,0.01,Morus alba L. cv. Shinn-ichinose,seed plant,woody,tree,deciduous-tree
Fukui 2000,,,8,Environment-controlled-chamber,Chamber,2,,pot,,belowground,root,11.5,10.7,2.26,3.33,5,5,g,-0.07,0.03,Morus alba L. cv. Shinn-ichinose,seed plant,woody,tree,deciduous-tree
Fukui 2000,,,8,Environment-controlled-chamber,Chamber,2,,pot,,belowground,root,11.5,7.7,2.26,1.5,5,5,g,-0.4,0.02,Morus alba L. cv. Shinn-ichinose,seed plant,woody,tree,deciduous-tree
Fukui 2000,,,8,Environment-controlled-chamber,Chamber,2,,pot,,belowground,root,7.5,7.8,1.97,2.15,5,5,g,0.04,0.03,Morus alba L. cv. Shinn-ichinose,seed plant,woody,tree,deciduous-tree
Fukui 2000,,,8,Environment-controlled-chamber,Chamber,2,,pot,,belowground,root,7.5,8.5,1.97,0.6,5,5,g,0.13,0.01,Morus alba L. cv. Shinn-ichinose,seed plant,woody,tree,deciduous-tree
Fukui 2000,,,8,Environment-controlled-chamber,Chamber,2,,pot,,aboveground,shoot,24.6,53.5,8.83,12.92,5,5,g,0.78,0.04,Morus alba L. cv. Shinn-ichinose,seed plant,woody,tree,deciduous-tree
Fukui 2000,,,8,Environment-controlled-chamber,Chamber,2,,pot,,aboveground,shoot,24.6,56.7,8.83,10.38,5,5,g,0.84,0.03,Morus alba L. cv. Shinn-ichinose,seed plant,woody,tree,deciduous-tree
Fukui 2000,,,8,Environment-controlled-chamber,Chamber,2,,pot,,aboveground,shoot,18.9,43.9,4.07,8.36,5,5,g,0.84,0.02,Morus alba L. cv. Shinn-ichinose,seed plant,woody,tree,deciduous-tree
Fukui 2000,,,8,Environment-controlled-chamber,Chamber,2,,pot,,aboveground,shoot,18.9,44.2,4.07,4.38,5,5,g,0.85,0.01,Morus alba L. cv. Shinn-ichinose,seed plant,woody,tree,deciduous-tree
Fukui 2000,,,8,Environment-controlled-chamber,Chamber,2,,pot,,aboveground,stem,6.1,17.4,2.55,5.86,5,5,g,1.05,0.06,Morus alba L. cv. Shinn-ichinose,seed plant,woody,tree,deciduous-tree
Fukui 2000,,,8,Environment-controlled-chamber,Chamber,2,,pot,,aboveground,stem,6.1,19.8,2.55,4.32,5,5,g,1.18,0.04,Morus alba L. cv. Shinn-ichinose,seed plant,woody,tree,deciduous-tree
Fukui 2000,,,8,Environment-controlled-chamber,Chamber,2,,pot,,aboveground,stem,5,14.9,1.75,4.52,7,7,g,1.09,0.03,Morus alba L. cv. Shinn-ichinose,seed plant,woody,tree,deciduous-tree
Fukui 2000,,,8,Environment-controlled-chamber,Chamber,2,,pot,,aboveground,stem,5,15.5,1.75,2.65,7,7,g,1.13,0.02,Morus alba L. cv. Shinn-ichinose,seed plant,woody,tree,deciduous-tree
Fukui 2000,,,8,Environment-controlled-chamber,Chamber,2,,pot,,aboveground,stem,19.6,18.8,1.36,3.62,5,5,g,-0.04,0.01,Morus alba L. cv. Shinn-ichinose,seed plant,woody,tree,deciduous-tree
Fukui 2000,,,8,Environment-controlled-chamber,Chamber,2,,pot,,aboveground,stem,19.6,17.8,1.36,1.88,5,5,g,-0.1,0,Morus alba L. cv. Shinn-ichinose,seed plant,woody,tree,deciduous-tree
Fukui 2000,,,8,Environment-controlled-chamber,Chamber,2,,pot,,aboveground,stem,18.4,17.1,2.01,0.36,5,5,g,-0.07,0,Morus alba L. cv. Shinn-ichinose,seed plant,woody,tree,deciduous-tree
Fukui 2000,,,8,Environment-controlled-chamber,Chamber,2,,pot,,aboveground,stem,18.4,17.9,2.01,1.79,5,5,g,-0.03,0,Morus alba L. cv. Shinn-ichinose,seed plant,woody,tree,deciduous-tree
Fukui 2000,,,8,Environment-controlled-chamber,Chamber,2,,pot,,aboveground,stem,0.1,0.13,0.04,0.06,5,5,g/cm,0.3,0.08,Morus alba L. cv. Shinn-ichinose,seed plant,woody,tree,deciduous-tree
Fukui 2000,,,8,Environment-controlled-chamber,Chamber,2,,pot,,aboveground,stem,0.1,0.14,0.04,0.05,5,5,g/cm,0.37,0.06,Morus alba L. cv. Shinn-ichinose,seed plant,woody,tree,deciduous-tree
Fukui 2000,,,8,Environment-controlled-chamber,Chamber,2,,pot,,aboveground,stem,0.07,0.1,0.04,0.06,7,7,g/cm,0.34,0.1,Morus alba L. cv. Shinn-ichinose,seed plant,woody,tree,deciduous-tree
Fukui 2000,,,8,Environment-controlled-chamber,Chamber,2,,pot,,aboveground,stem,0.07,0.1,0.04,0.04,7,7,g/cm,0.32,0.07,Morus alba L. cv. Shinn-ichinose,seed plant,woody,tree,deciduous-tree
Fukui 2000,,,8,Environment-controlled-chamber,Chamber,2,,pot,,total,,55.7,83.1,12.3,19.19,5,5,g,0.4,0.02,Morus alba L. cv. Shinn-ichinose,seed plant,woody,tree,deciduous-tree
Fukui 2000,,,8,Environment-controlled-chamber,Chamber,2,,pot,,total,,55.7,82.2,12.3,12.79,5,5,g,0.39,0.01,Morus alba L. cv. Shinn-ichinose,seed plant,woody,tree,deciduous-tree
Fukui 2000,,,8,Environment-controlled-chamber,Chamber,2,,pot,,total,,45.7,70,7.83,11.63,5,5,g,0.43,0.01,Morus alba L. cv. Shinn-ichinose,seed plant,woody,tree,deciduous-tree
Fukui 2000,,,8,Environment-controlled-chamber,Chamber,2,,pot,,total,,45.7,72.8,7.83,5.39,5,5,g,0.47,0.01,Morus alba L. cv. Shinn-ichinose,seed plant,woody,tree,deciduous-tree
Fukui 2000,,,12,Environment-controlled-chamber,Chamber,2,,pot,,aboveground,leaf,18.5,42.1,6.28,3.91,5,5,g,0.82,0.02,Morus alba L. cv. Shinn-ichinose,seed plant,woody,tree,deciduous-tree
Fukui 2000,,,12,Environment-controlled-chamber,Chamber,2,,pot,,aboveground,leaf,13.9,36.8,3.07,8.97,7,7,g,0.97,0.02,Morus alba L. cv. Shinn-ichinose,seed plant,woody,tree,deciduous-tree
Fukui 2000,,,12,Environment-controlled-chamber,Chamber,2,,pot,,belowground,root,11.5,7.8,2.26,0.58,5,5,g,-0.39,0.01,Morus alba L. cv. Shinn-ichinose,seed plant,woody,tree,deciduous-tree
Fukui 2000,,,12,Environment-controlled-chamber,Chamber,2,,pot,,belowground,root,7.5,9.1,1.97,3.04,5,5,g,0.19,0.04,Morus alba L. cv. Shinn-ichinose,seed plant,woody,tree,deciduous-tree
Fukui 2000,,,12,Environment-controlled-chamber,Chamber,2,,pot,,aboveground,shoot,24.6,63.4,8.83,6.93,5,5,g,0.95,0.03,Morus alba L. cv. Shinn-ichinose,seed plant,woody,tree,deciduous-tree
Fukui 2000,,,12,Environment-controlled-chamber,Chamber,2,,pot,,aboveground,shoot,18.9,55.4,4.07,12.99,5,5,g,1.08,0.02,Morus alba L. cv. Shinn-ichinose,seed plant,woody,tree,deciduous-tree
Fukui 2000,,,12,Environment-controlled-chamber,Chamber,2,,pot,,aboveground,stem,6.1,21.3,2.55,3.4,5,5,g,1.25,0.04,Morus alba L. cv. Shinn-ichinose,seed plant,woody,tree,deciduous-tree
Fukui 2000,,,12,Environment-controlled-chamber,Chamber,2,,pot,,aboveground,stem,5,18.6,1.75,6.4,7,7,g,1.31,0.03,Morus alba L. cv. Shinn-ichinose,seed plant,woody,tree,deciduous-tree
Fukui 2000,,,12,Environment-controlled-chamber,Chamber,2,,pot,,aboveground,stem,19.6,16,1.36,0.89,5,5,g,-0.2,0,Morus alba L. cv. Shinn-ichinose,seed plant,woody,tree,deciduous-tree
Fukui 2000,,,12,Environment-controlled-chamber,Chamber,2,,pot,,aboveground,stem,18.4,17,2.01,2.01,5,5,g,-0.08,0.01,Morus alba L. cv. Shinn-ichinose,seed plant,woody,tree,deciduous-tree
Fukui 2000,,,12,Environment-controlled-chamber,Chamber,2,,pot,,aboveground,stem,0.1,0.01,0.04,0.02,5,5,g/cm,-1.96,0.65,Morus alba L. cv. Shinn-ichinose,seed plant,woody,tree,deciduous-tree
Fukui 2000,,,12,Environment-controlled-chamber,Chamber,2,,pot,,aboveground,stem,0.07,0.11,0.04,0.07,7,7,g/cm,0.44,0.1,Morus alba L. cv. Shinn-ichinose,seed plant,woody,tree,deciduous-tree
Fukui 2000,,,12,Environment-controlled-chamber,Chamber,2,,pot,,total,,55.7,87.2,12.3,7.13,5,5,g,0.45,0.01,Morus alba L. cv. Shinn-ichinose,seed plant,woody,tree,deciduous-tree
Fukui 2000,,,12,Environment-controlled-chamber,Chamber,2,,pot,,total,,45.7,82.4,7.83,17.06,5,5,g,0.59,0.01,Morus alba L. cv. Shinn-ichinose,seed plant,woody,tree,deciduous-tree
Gavito et al. 2001,,,5,Environment-controlled-chamber,Chamber,2,F,pot,,aboveground,reproductive,1.16,3.73,0.78,2.47,6,6,g,1.17,0.15,Triticum aestivum L. cv. Terra,seed plant,herbaceous,grass,
Gavito et al. 2001,,,5,Environment-controlled-chamber,Chamber,2,F,pot,,aboveground,reproductive,0.66,1.88,0.59,0.93,6,6,g,1.05,0.17,Triticum aestivum L. cv. Terra,seed plant,herbaceous,grass,
Gavito et al. 2001,,,5,Environment-controlled-chamber,Chamber,2,F,pot,,aboveground,leaf,15.72,15.83,0.64,0.44,6,6,g,0.01,0,Triticum aestivum L. cv. Terra,seed plant,herbaceous,grass,
Gavito et al. 2001,,,5,Environment-controlled-chamber,Chamber,2,F,pot,,aboveground,leaf,6.21,7.19,0.56,0.66,6,6,g,0.15,0,Triticum aestivum L. cv. Terra,seed plant,herbaceous,grass,
Gavito et al. 2001,,,5,Environment-controlled-chamber,Chamber,2,F,pot,,aboveground,stem,31.83,36.94,3.85,8.67,6,6,g,0.15,0.01,Triticum aestivum L. cv. Terra,seed plant,herbaceous,grass,
Gavito et al. 2001,,,5,Environment-controlled-chamber,Chamber,2,F,pot,,aboveground,stem,12.39,15.38,1.71,3.58,6,6,g,0.22,0.01,Triticum aestivum L. cv. Terra,seed plant,herbaceous,grass,
Gavito et al. 2001,,,5,Environment-controlled-chamber,Chamber,2,F,pot,,belowground,root,21.97,23.88,1.64,2.28,6,6,g,0.08,0,Triticum aestivum L. cv. Terra,seed plant,herbaceous,grass,
Gavito et al. 2001,,,5,Environment-controlled-chamber,Chamber,2,F,pot,,belowground,root,10.99,11.84,0.93,1.18,6,6,g,0.07,0,Triticum aestivum L. cv. Terra,seed plant,herbaceous,grass,
Gavito et al. 2001,,,5,Environment-controlled-chamber,Chamber,2,F,pot,,total,,70.7,80.4,5.88,6.86,6,6,g,0.13,0,Triticum aestivum L. cv. Terra,seed plant,herbaceous,grass,
Gavito et al. 2001,,,5,Environment-controlled-chamber,Chamber,2,F,pot,,total,,30.3,36.3,2.69,3.18,6,6,g,0.18,0,Triticum aestivum L. cv. Terra,seed plant,herbaceous,grass,
Gavito et al. 2001,,,5,Environment-controlled-chamber,Chamber,2,F+CO2,pot,,aboveground,reproductive,0.92,3.09,0.73,1.35,6,6,g,1.21,0.14,Triticum aestivum L. cv. Terra,seed plant,herbaceous,grass,
Gavito et al. 2001,,,5,Environment-controlled-chamber,Chamber,2,F+CO2,pot,,aboveground,reproductive,0.39,1.93,0.34,0.59,6,6,g,1.6,0.14,Triticum aestivum L. cv. Terra,seed plant,herbaceous,grass,
Gavito et al. 2001,,,5,Environment-controlled-chamber,Chamber,2,F+CO2,pot,,aboveground,leaf,16.89,18.54,0.73,0.59,6,6,g,0.09,0,Triticum aestivum L. cv. Terra,seed plant,herbaceous,grass,
Gavito et al. 2001,,,5,Environment-controlled-chamber,Chamber,2,F+CO2,pot,,aboveground,leaf,7,7.15,0.88,0.51,6,6,g,0.02,0,Triticum aestivum L. cv. Terra,seed plant,herbaceous,grass,
Gavito et al. 2001,,,5,Environment-controlled-chamber,Chamber,2,F+CO2,pot,,aboveground,stem,33.6,44.23,2.25,7.96,6,6,g,0.27,0.01,Triticum aestivum L. cv. Terra,seed plant,herbaceous,grass,
Gavito et al. 2001,,,5,Environment-controlled-chamber,Chamber,2,F+CO2,pot,,aboveground,stem,13.48,15.47,1.49,1.96,6,6,g,0.14,0,Triticum aestivum L. cv. Terra,seed plant,herbaceous,grass,
Gavito et al. 2001,,,5,Environment-controlled-chamber,Chamber,2,F+CO2,pot,,belowground,root,22.84,25.5,2.6,1.74,6,6,g,0.11,0,Triticum aestivum L. cv. Terra,seed plant,herbaceous,grass,
Gavito et al. 2001,,,5,Environment-controlled-chamber,Chamber,2,F+CO2,pot,,belowground,root,12.87,11.73,1.52,0.81,6,6,g,-0.09,0,Triticum aestivum L. cv. Terra,seed plant,herbaceous,grass,
Gavito et al. 2001,,,5,Environment-controlled-chamber,Chamber,2,F+CO2,pot,,total,,74.2,91.4,5.63,4.9,6,6,g,0.21,0,Triticum aestivum L. cv. Terra,seed plant,herbaceous,grass,
Gavito et al. 2001,,,5,Environment-controlled-chamber,Chamber,2,F+CO2,pot,,total,,33.8,36.3,3.43,2.94,6,6,g,0.07,0,Triticum aestivum L. cv. Terra,seed plant,herbaceous,grass,
Gerdol et al. 1998,5,1100,10,Greenhouse,Greenhouse,2,F,field,46.32,total,,0.01,0.04,0.01,0.03,6,6,g/year,1.56,0.27,Sphagnum capillifolium,spore plant,,,
Gerdol et al. 1998,5,1100,10,Greenhouse,Greenhouse,2,F,field,46.32,total,,0.01,0.03,0.02,0.02,6,6,g/year,1.16,0.92,Sphagnum capillifolium,spore plant,,,
Gerdol et al. 1998,5,1100,10,Greenhouse,Greenhouse,2,,field,46.32,total,,0.02,0.05,0.03,0.03,6,6,g/year,1.15,0.69,Sphagnum capillifolium,spore plant,,,
Gough & Hobbie 2003,-8.7,320,5,Greenhouse,Greenhouse,27,F,field,68.63,aboveground,,66.4,19.2,29.79,24.25,12,12,g,-1.24,0.15,above of all deciduous shrubs,seed plant,woody,shrub,deciduous-shrub
Gough & Hobbie 2003,-8.7,320,5,Greenhouse,Greenhouse,27,F,field,68.63,belowground,,80.3,61.9,55.43,58.2,12,12,g,-0.26,0.11,below of all deciduous shrubs,seed plant,woody,shrub,deciduous-shrub
