Species,study_id,style,Control Day T (mean),Control Night T (mean),Control Whole-day T (mean),Increased Day T (mean),Increased Night T (mean),Increased Whole-day T (mean),DDay T,DNight T,DWhole-day T,T Position,Facility,Exposed time,Other Treatment,pot or field,Latitude,Longitude,Elevation(m),mean_ctrl,mean_trt,SD_ctrl,SD_trt,N_ctrl,N_trt,Unit
Artemisia tridentata,Loik 2000,day/night,*,*,18.1,*,*,*,2,*,*,soil at 5cm,electric heater,7years,*,field,38°53′N,107°02′W,2920,6.0914,5.4569,0.2135,0.2562,5,5,μmol m-2 s-1
Artemisia tridentata,Loik 2000,day/night,*,*,18.1,*,*,*,2,*,*,soil at 5cm,electric heater,7years,*,field,38°53′N,107°02′W,2920,0.6345,0.8883,0.1708,0.0854,5,5,μmol m-2 s-1
Aster ericoides,Zhou 2007,day/night,*,*,16.3,*,*,*,*,*,1.1,air,infrared heater,1year,*,field,34°58′54″N,97°31′14″W,374,11.0879,8.4728,0.1708,0.2562,6,6,μmol m-2 s-1
Aster ericoides,Zhou 2007,day/night,*,*,16.3,*,*,*,*,*,1.1,air,infrared heater,1year,*,field,34°58′54″N,97°31′14″W,374,10.9833,7.8452,0.0854,0.1281,6,6,μmol m-2 s-1
Aster ericoides,Zhou 2007,day/night,*,*,16.3,*,*,*,*,*,1.1,air,infrared heater,1year,*,field,34°58′54″N,97°31′14″W,374,7.7406,4.9163,0.0854,0.1708,6,6,μmol m-2 s-1
Aster ericoides,Zhou 2007,day/night,*,*,16.3,*,*,*,*,*,1.1,air,infrared heater,1year,*,field,34°58′54″N,97°31′14″W,374,8.159,7.2176,0.0854,0.1281,6,6,μmol m-2 s-1
Aster ericoides,Zhou 2007,day/night,*,*,16.3,*,*,*,*,*,1.1,air,infrared heater,1year,*,field,34°58′54″N,97°31′14″W,374,4.1841,3.8703,1.4683,1.1447,6,6,μmol m-2 s-1
Aster ericoides,Zhou 2007,day/night,*,*,16.3,*,*,*,*,*,1.1,air,infrared heater,1year,*,field,34°58′54″N,97°31′14″W,374,10.7741,15.6904,1.3687,0.6968,6,6,μmol m-2 s-1
Aster ericoides,Zhou 2007,day/night,*,*,16.3,*,*,*,*,*,1.1,air,infrared heater,1year,*,field,34°58′54″N,97°31′14″W,374,11.2971,10.4603,0.8212,0.4479,6,6,μmol m-2 s-1
Aster ericoides,Zhou 2007,day/night,*,*,16.3,*,*,*,*,*,1.1,air,infrared heater,1year,*,field,34°58′54″N,97°31′14″W,374,11.6109,9.728,0.5226,0.2986,6,6,μmol m-2 s-1
Aster ericoides,Zhou 2007,day/night,*,*,16.3,*,*,*,*,*,1.1,air,infrared heater,1year,*,field,34°58′54″N,97°31′14″W,374,8.159,6.0669,0.5724,0.7715,6,6,μmol m-2 s-1
Aster ericoides,Zhou 2007,day/night,*,*,16.3,*,*,*,*,*,1.1,air,infrared heater,1year,*,field,34°58′54″N,97°31′14″W,374,7.7406,5.4393,0.9705,0.871,6,6,μmol m-2 s-1
Aster ericoides,Zhou 2007,day/night,*,*,16.3,*,*,*,*,*,1.1,air,infrared heater,1year,*,field,34°58′54″N,97°31′14″W,374,6.7992,4.7071,0.7466,0.7715,6,6,μmol m-2 s-1
Aster ericoides,Zhou 2007,day/night,*,*,16.3,*,*,*,*,*,1.1,air,infrared heater,1year,*,field,34°58′54″N,97°31′14″W,374,4.6025,4.1841,1.1199,0.4479,6,6,μmol m-2 s-1
Aster ericoides,Zhou 2007,day/night,*,*,16.3,*,*,*,*,*,1.1,air,infrared heater,1year,*,field,34°58′54″N,97°31′14″W,374,0.8368,0.6276,0.4472,0.4472,6,6,μmol m-2 s-1
Avena barbata,Swarbreck et al. 2011,day/night,*,*,*,*,*,*,*,*,3.1,air and soil,climate-controlled greenhouse,3 months,low rain,pot,*,*,*,11.0345,11.7672,0.519,0.8433,3,3,mmol m-2 s-1
Avena barbata,Swarbreck et al. 2011,day/night,*,*,*,*,*,*,*,*,3.1,air and soil,climate-controlled greenhouse,3 months,low rain,pot,*,*,*,5.1293,1.5517,0.6328,0.4858,3,3,mmol m-2 s-1
Avena barbata,Swarbreck et al. 2011,day/night,*,*,*,*,*,*,*,*,2.8,air and soil,climate-controlled greenhouse,15 months,low rain,pot,*,*,*,11.1207,11.3362,0.6328,0.5838,3,3,mmol m-2 s-1
Avena barbata,Swarbreck et al. 2011,day/night,*,*,*,*,*,*,*,*,2.8,air and soil,climate-controlled greenhouse,15 months,low rain,pot,*,*,*,8.1466,6.9397,0.0741,0.0889,3,3,mmol m-2 s-1
Avena barbata,Swarbreck et al. 2011,day/night,*,*,*,*,*,*,*,*,3.1,air and soil,climate-controlled greenhouse,3 months,high rain,pot,*,*,*,15.0862,15.3879,0.1482,0.1482,3,3,mmol m-2 s-1
Avena barbata,Swarbreck et al. 2011,day/night,*,*,*,*,*,*,*,*,3.1,air and soil,climate-controlled greenhouse,3 months,high rain,pot,*,*,*,12.4138,9.569,0.5464,0.6011,3,3,mmol m-2 s-1
Avena barbata,Swarbreck et al. 2011,day/night,*,*,*,*,*,*,*,*,2.8,air and soil,climate-controlled greenhouse,15 months,high rain,pot,*,*,*,11.3362,8.6638,0.5464,0.6011,3,3,mmol m-2 s-1
Avena barbata,Swarbreck et al. 2011,day/night,*,*,*,*,*,*,*,*,2.8,air and soil,climate-controlled greenhouse,15 months,high rain,pot,*,*,*,12.9741,10.6466,0.5464,0.6557,3,3,mmol m-2 s-1
Bellis perennis,Gunn 1999,day/night,*,*,16,*,*,20,*,*,4,air,controlled-environment cabinet,56days,*,pot,*,*,*,23,16,0.5464,0.6011,5,5,g m-2 d-1
Bellis perennis,Gielen 2007,day/night,*,*,9.6,*,*,*,*,*,3,air,climate-control chamber,2years,*,pot,51°09′,04°24′E,*,6.6292,8.764,0.6557,0.6011,3,3,μmol m-2 s-1
Betula alleghaniensis,Gunderson 2010,day/night,*,*,14.7,16.6,*,*,*,*,1.9,air,open top chamber,*,*,field,35°54′N,84°20′W,230,9.73,8.73,0.6557,0.6557,6,6,μmol m-2 s-1
Betula alleghaniensis,Gunderson 2010,day/night,*,*,14.7,18.2,*,*,*,*,3.5,air,open top chamber,*,*,field,35°54′N,84°20′W,230,9.73,8.76,0.6557,0.6011,6,6,μmol m-2 s-1
Betula alleghaniensis,Wayne 1998,day/night,26,21,*,31,26,*,5,5,*,air,growth container,61days,*,pot,*,*,*,14.2138,13.0818,0.6557,0.7104,18,18,μmol m-2 s-1
Betula alleghaniensis,Wayne 1998,day/night,26,21,*,31,26,*,5,5,*,air,growth container,61days,CO2,pot,*,*,*,21.0692,19.1824,0.3524,0.1762,18,18,μmol m-2 s-1
Betula papyrifera,Tjoelker 1998,day/night,18,12,*,30,24,*,3,3,*,air,growth chamber,91days,*,pot,*,*,*,14.5355,12.1311,0.2585,0.2188,4,4,μmol m-2 s-1
Betula papyrifera,Tjoelker 1998,day/night,18,12,*,27,21,*,3,3,*,air,growth chamber,91days,*,pot,*,*,*,14.5355,13.7705,0.3055,0.3642,4,4,μmol m-2 s-1
Betula papyrifera,Tjoelker 1998,day/night,18,12,*,24,18,*,3,3,*,air,growth chamber,91days,*,pot,*,*,*,14.5355,14.4262,0.1591,0.2121,4,4,μmol m-2 s-1
Betula papyrifera,Tjoelker 1998,day/night,18,12,*,21,15,*,3,3,*,air,growth chamber,91days,*,pot,*,*,*,14.5355,13.224,0.1591,0.1237,4,4,μmol m-2 s-1
Betula papyrifera,Tjoelker 1998,day/night,18,12,*,30,24,*,3,3,*,air,growth chamber,91days,CO2,pot,*,*,*,18.3607,15.6284,2.6833,3.1305,4,4,μmol m-2 s-1
Betula papyrifera,Tjoelker 1998,day/night,18,12,*,27,21,*,3,3,*,air,growth chamber,91days,CO2,pot,*,*,*,18.3607,15.7377,0.9731,0.6487,4,4,μmol m-2 s-1
Betula papyrifera,Tjoelker 1998,day/night,18,12,*,24,18,*,3,3,*,air,growth chamber,91days,CO2,pot,*,*,*,18.3607,17.5956,0.8497,0.6485,4,4,μmol m-2 s-1
Betula papyrifera,Tjoelker 1998,day/night,18,12,*,21,15,*,3,3,*,air,growth chamber,91days,CO2,pot,*,*,*,18.3607,17.1585,0.6037,0.6037,4,4,μmol m-2 s-1
Calluna vulgaris,Llorens 2004,ningt,*,*,9.5,*,*,10.2,*,*,0.7,air,roof covered during night,1year,*,field,53°03′N,3°28′E,490,6.446,5.3813,0.1061,0.0884,6,6,μmol m-2 s-1
Calluna vulgaris,Llorens 2004,ningt,*,*,7.6,*,*,8.3,*,*,0.7,air,roof covered during night,1year,*,field,56°23′N,10°57′E,50,4.2878,4.6331,0.1061,0.0884,6,5,μmol m-2 s-1
Calluna vulgaris,Llorens 2004,ningt,*,*,10.4,*,*,10.7,*,*,0.3,air,roof covered during night,1year,*,field,52°24′N,5°55′E,25,4.259,4.1439,0.3793,0.2069,6,6,μmol m-2 s-1
Colobanthus quitensis,Xiong 2000,day,7,7,*,12,7,*,5,*,*,air,growth chamber,"60, 85days",*,pot,64°47′S,64°00′W,*,2.85,6.65,1.045,1.72,8,8,μmol m-2 s-1
Colobanthus quitensis,Xiong 2000,day,7,7,*,20,7,*,13,*,*,air,growth chamber,"60, 85days",*,pot,64°47′S,64°00′W,*,2.85,3.85,0.67,0.655,8,8,μmol m-2 s-1
Dactylis glomerata,Gunn 1999,day/night,*,*,16,*,*,20,*,*,4,air,controlled-environment cabinet,29days,*,pot,*,*,*,33,42,0.755,0.545,5,5,g m-2 d-1
Dactylis glomerata,Gielen 2007,day/night,*,*,9.6,*,*,*,*,*,3,air,climate-control chamber,2years,*,pot,51°09′,04°24′E,*,8.9888,5.618,0.295,0.41,3,3,μmol m-2 s-1
Delphinium nuttallianum,Lambrecht 2007,day/night,*,*,*,*,*,*,*,*,*,air,infrared heater,11---13years,*,field,38°57.5′N,106°59.3′W,2920,21.6,15.8,0.1175,0.188,20,20,μmol m-2 s-1
Delphinium nuttallianum,Lambrecht 2007,day/night,*,*,*,*,*,*,*,*,*,air,infrared heater,11---13years,*,field,38°57.5′N,106°59.3′W,2920,14.4,10.6,0.1698,1.2453,20,20,μmol m-2 s-1
Deschampsia antarctica,Xiong 2000,day,7,7,*,12,7,*,5,*,*,air,growth chamber,"60, 85days",*,pot,64°47′S,64°00′W,*,3.7,6.25,0.303,0.4242,8,8,μmol m-2 s-1
Deschampsia antarctica,Xiong 2000,day,7,7,*,20,7,*,13,*,*,air,growth chamber,"60, 85days",*,pot,64°47′S,64°00′W,*,3.7,4.1,0.1697,0.2788,8,8,μmol m-2 s-1
Dryas octopetala,Welker 1997,day/night,*,*,3.6,*,*,*,*,*,~1-3,air,greenhouse,3,*,field,78°56.12′N,11°50.4′E,*,14.1379,16.9311,0.2424,0.1098,4,4,μmol m-2 s-1
Dryas octopetala,Wookey 1995,day/night,*,*,3.6,*,*,*,*,*,~1-3,air,greenhouse,3,*,field,78°56.12′N,11°50.4′E,*,15,18,0.2303,0.1939,4,4,μmol m-2 s-1
Dryas octopetala,Wookey 1995,day/night,*,*,3.6,*,*,*,*,*,~1-3,air,greenhouse,3,nutrient,field,78°56.12′N,11°50.4′E,22,14.4,16,0.2064,0.1455,4,4,μmol m-2 s-1
Dryas octopetala,Wookey 1995,day/night,*,*,3.6,*,*,*,*,*,~1-3,air,greenhouse,3,nutrient+water,field,78°56.12′N,11°50.4′E,22,15.9,17,0.05,0.0364,4,4,μmol m-2 s-1
Dryas octopetala,Wookey 1995,day/night,*,*,3.6,*,*,*,*,*,~1-3,air,greenhouse,3,water,field,78°56.12′N,11°50.4′E,22,12,17.4,0.0857,0.0364,4,4,μmol m-2 s-1
Erica multiflora,Llorens 2004,ningt,*,*,15.6,*,*,15.9,*,*,0.3,air,roof covered during night,1year,*,field,41°18′N,1°49′E,210,1.4964,0.8345,0.0271,0.1576,6,6,μmol m-2 s-1
Erica multiflora,Llorens2003,night,*,*,17.5,*,*,*,*,0.7,*,air,covery,0-2years,*,field,41°18′N,1°49′E,210,6.0784,5.098,0.0848,0.1212,3,3,μmol m-2 s-1
Erica multiflora,Prieto 2009,night,*,*,15.2,*,*,*,*,0.7,*,air,reflective curtains,5years,*,field,41°18′N,1°49′E,210,2.5091,3.5636,0.227,0.227,9,9,μmol m-2 s-1
Erica multiflora,Prieto 2009,night,*,*,15.2,*,*,*,*,0.7,*,air,reflective curtains,5years,*,field,41°18′N,1°49′E,210,5.3454,5.4909,3.1782,1.3621,9,9,μmol m-2 s-1
Erica multiflora,Prieto 2009,night,*,*,15.2,*,*,*,*,0.7,*,air,reflective curtains,5years,*,field,41°18′N,1°49′E,210,2.1818,0.6193,1.4188,1.3053,9,9,μmol m-2 s-1
Erica multiflora,Prieto 2009,night,*,*,15.2,*,*,*,*,0.7,*,air,reflective curtains,5years,*,field,41°18′N,1°49′E,210,3.6363,3.8909,0.6243,1.7026,9,9,μmol m-2 s-1
Erica multiflora,Prieto 2009,night,*,*,15.2,*,*,*,*,0.7,*,air,reflective curtains,6years,*,field,41°18′N,1°49′E,210,1.8545,2.1818,1.4756,0.7378,9,9,μmol m-2 s-1
Erica multiflora,Prieto 2009,night,*,*,15.2,*,*,*,*,0.7,*,air,reflective curtains,6years,*,field,41°18′N,1°49′E,210,0.5454,1.0545,0.5108,1.5323,9,9,μmol m-2 s-1
Erica multiflora,Prieto 2009,night,*,*,15.2,*,*,*,*,0.7,*,air,reflective curtains,7years,*,field,41°18′N,1°49′E,210,0.6919,0.9091,0.1703,0.227,9,9,μmol m-2 s-1
Erica multiflora,Prieto 2009,night,*,*,15.2,*,*,*,*,0.7,*,air,reflective curtains,7years,*,field,41°18′N,1°49′E,210,1.1273,2.0364,0.425,0.4,9,9,μmol m-2 s-1
Erica multiflora,Prieto 2009,night,*,*,15.2,*,*,*,*,0.7,*,air,reflective curtains,7years,*,field,41°18′N,1°49′E,210,1.2727,2.5094,1,0.625,9,9,μmol m-2 s-1
Erigeron speciosus,Loik 2000,day/night,*,*,18.1,*,*,*,2,*,*,soil at 5cm,electric heater,7years,*,field,38°53′N,107°02′W,2920,1.0152,0.8883,0.0044,0.0065,5,5,μmol m-2 s-1
Erigeron speciosus,Loik 2000,day/night,*,*,18.1,*,*,*,2,*,*,soil at 5cm,electric heater,7years,*,field,38°53′N,107°02′W,2920,13.5787,8.6294,0.207,0.0828,5,5,μmol m-2 s-1
Erigeron speciosus,Loik 2000,day/night,*,*,18.1,*,*,*,2,*,*,soil at 5cm,electric heater,7years,*,field,38°53′N,107°02′W,2920,14.9746,12.0558,0.2899,0.5383,5,5,μmol m-2 s-1
Erigeron speciosus,Loik 2000,day/night,*,*,18.1,*,*,*,2,*,*,soil at 5cm,electric heater,7years,*,field,38°53′N,107°02′W,2920,13.8325,16.8782,0.3313,0.3313,5,5,μmol m-2 s-1
Erigeron speciosus,Loik 2000,day/night,*,*,18.1,*,*,*,2,*,*,soil at 5cm,electric heater,7years,*,field,38°53′N,107°02′W,2920,5.5838,2.5381,0.3727,0.4969,5,5,μmol m-2 s-1
Erigeron speciosus,Loik 2000,day/night,*,*,18.1,*,*,*,2,*,*,soil at 5cm,electric heater,7years,*,field,38°53′N,107°02′W,2920,9.0102,6.7259,0.5797,0.2899,5,5,μmol m-2 s-1
Erigeron speciosus,Loik 2000,day/night,*,*,18.1,*,*,*,2,*,*,soil at 5cm,electric heater,7years,*,field,38°53′N,107°02′W,2920,1.3959,0.6345,0.6102,0.3051,5,5,μmol m-2 s-1
Erigeron speciosus,Lambrecht 2007,day/night,*,*,*,*,*,*,*,*,*,air,infrared heater,11---13years,*,field,38°57.5′N,106°59.3′W,2920,17.1,10.6,0.3606,0.5547,16,16,μmol m-2 s-1
Erigeron speciosus,Lambrecht 2007,day/night,*,*,*,*,*,*,*,*,*,air,infrared heater,11---13years,*,field,38°57.5′N,106°59.3′W,2920,14.2,6.6,0.1364,0.0455,16,16,μmol m-2 s-1
Eriophorum angustifolium,Shaver 1998,day/night,*,*,11.3,*,*,*,*,*,5.6,air,greenhouse,5years,*,field,*,*,*,0.0636,0.04,0.1136,0.25,2,2,μmol g-2 s-1
Erythronium grandiflorum,Loik 2004,day/night,*,*,3.9,*,*,7.3,*,*,3.4,"soil(average of 5, 12, 25cm deep)",infrared radiation,*,*,field,38°53′N,107°02′W,2920,8.4259,9.3519,0.1818,0.2955,5,5,μmol m-2 s-1
Erythronium grandiflorum,Loik 2004,day/night,*,*,3.9,*,*,7.3,*,*,3.4,"soil(average of 5, 12, 25cm deep)",infrared radiation,*,*,field,38°53′N,107°02′W,2920,10.2778,11.4815,0.1364,0.25,5,5,μmol m-2 s-1
Erythronium grandiflorum,Loik 2004,day/night,*,*,3.9,*,*,7.3,*,*,3.4,"soil(average of 5, 12, 25cm deep)",infrared radiation,*,*,field,38°53′N,107°02′W,2920,6.7593,12.3148,0.1136,0.2045,5,5,μmol m-2 s-1
Erythronium grandiflorum,Loik 2004,day/night,*,*,3.9,*,*,7.3,*,*,3.4,"soil(average of 5, 12, 25cm deep)",infrared radiation,*,*,field,38°53′N,107°02′W,2920,8.4259,9.0741,0.1818,0.0909,5,5,μmol m-2 s-1
Erythronium grandiflorum,Loik 2004,day/night,*,*,3.9,*,*,7.3,*,*,3.4,"soil(average of 5, 12, 25cm deep)",infrared radiation,*,*,field,38°53′N,107°02′W,2920,7.6852,8.7037,0.3556,0.7901,5,5,μmol m-2 s-1
Erythronium grandiflorum,Lambrecht 2007,day/night,*,*,*,*,*,*,*,*,*,air,infrared heater,11---13years,*,field,38°57.5′N,106°59.3′W,2920,28.4,26.7,0.3556,0.3161,13,13,μmol m-2 s-1
Erythronium grandiflorum,Lambrecht 2007,day/night,*,*,*,*,*,*,*,*,*,air,infrared heater,11---13years,*,field,38°57.5′N,106°59.3′W,2920,8.9,6.6,0.3556,1.5408,13,13,μmol m-2 s-1
Eucalyptus globulus,Battaglia 1996,day/night,15,10,*,23,18,*,8,8,*,air,greenhouse,3weeks,complete nutrient,pot,*,*,*,6.5909,6.0455,0.1185,0.1975,4,4,μmol m-2 s-1
Eucalyptus globulus,Battaglia 1996,day/night,15,10,*,23,18,*,8,8,*,air,greenhouse,3weeks,complete nutrient,pot,*,*,*,14.2273,13.9091,0.1185,0.3556,4,4,μmol m-2 s-1
Eucalyptus globulus,Battaglia 1996,day/night,15,10,*,23,18,*,8,8,*,air,greenhouse,3weeks,complete nutrient,pot,*,*,*,10.0909,11.1818,0.1185,0.4741,4,4,μmol m-2 s-1
Eucalyptus globulus,Battaglia 1996,day/night,15,10,*,30,25,*,15,15,*,air,greenhouse,3weeks,complete nutrient,pot,*,*,*,6.5909,3.8182,0.158,0.3556,4,4,μmol m-2 s-1
Eucalyptus globulus,Battaglia 1996,day/night,15,10,*,30,25,*,15,15,*,air,greenhouse,3weeks,complete nutrient,pot,*,*,*,14.2273,11.7727,0.158,0.9482,4,4,μmol m-2 s-1
Eucalyptus globulus,Battaglia 1996,day/night,15,10,*,30,25,*,15,15,*,air,greenhouse,3weeks,complete nutrient,pot,*,*,*,10.0909,10.7273,0.158,0.8296,4,4,μmol m-2 s-1
Eucalyptus pauciflora,Bruhn 2007,night,*,*,12.09,*,*,*,*,0.3,*,air,infrared ceramic lamp,1month,*,field,35°15′S,149°27′E,700,19.6113,17.1378,0.5136,0.3161,5,5,μmol m-2 s-1
Eucalyptus pauciflora,Bruhn 2007,night,*,*,12.09,*,*,*,*,1.3,*,air,infrared ceramic lamp,1month,*,field,35°15′S,149°27′E,700,19.6113,21.3781,0.5136,0.7111,5,5,μmol m-2 s-1
Eucalyptus pauciflora,Bruhn 2007,night,*,*,12.09,*,*,*,*,2.2,*,air,infrared ceramic lamp,1month,*,field,35°15′S,149°27′E,700,19.6113,16.8728,0.5136,1.0667,5,5,μmol m-2 s-1
Eucalyptus pauciflora,Bruhn 2007,night,*,*,12.09,*,*,*,*,0.3,*,air,infrared ceramic lamp,2months,*,field,35°15′S,149°27′E,700,18.9046,17.5795,0.3556,0.1975,5,5,μmol m-2 s-1
Eucalyptus pauciflora,Bruhn 2007,night,*,*,12.09,*,*,*,*,1.3,*,air,infrared ceramic lamp,2months,*,field,35°15′S,149°27′E,700,18.9046,18.8163,0.3556,0.5136,5,5,μmol m-2 s-1
Eucalyptus pauciflora,Bruhn 2007,night,*,*,12.09,*,*,*,*,2.2,*,air,infrared ceramic lamp,2months,*,field,35°15′S,149°27′E,700,18.9046,18.3746,0.3556,1.5012,5,5,μmol m-2 s-1
Eucalyptus pauciflora,Bruhn 2007,night,*,*,12.09,*,*,*,*,0.3,*,air,infrared ceramic lamp,4months,*,field,35°15′S,149°27′E,700,12.6325,14.2226,0.7111,0.5926,5,5,μmol m-2 s-1
Eucalyptus pauciflora,Bruhn 2007,night,*,*,12.09,*,*,*,*,1.3,*,air,infrared ceramic lamp,4months,*,field,35°15′S,149°27′E,700,12.6325,13.6926,0.7111,1.2642,5,5,μmol m-2 s-1
Eucalyptus pauciflora,Bruhn 2007,night,*,*,12.09,*,*,*,*,2.2,*,air,infrared ceramic lamp,4months,*,field,35°15′S,149°27′E,700,12.6325,12.1025,0.7111,2.8445,5,5,μmol m-2 s-1
Eucalyptus pauciflora,Bruhn 2007,night,*,*,12.09,*,*,*,*,0.3,*,air,infrared ceramic lamp,5months,*,field,35°15′S,149°27′E,700,14.2226,14.4876,0.3806,0.5329,5,5,μmol m-2 s-1
Eucalyptus pauciflora,Bruhn 2007,night,*,*,12.09,*,*,*,*,1.3,*,air,infrared ceramic lamp,5months,*,field,35°15′S,149°27′E,700,14.2226,14.2226,0.4567,0.4567,5,5,μmol m-2 s-1
Eucalyptus pauciflora,Bruhn 2007,night,*,*,12.09,*,*,*,*,2.2,*,air,infrared ceramic lamp,5months,*,field,35°15′S,149°27′E,700,14.2226,13.8693,0.609,0.6851,5,5,μmol m-2 s-1
Eucalyptus pauciflora,Bruhn 2007,night,*,*,12.09,*,*,*,*,0.3,*,air,infrared ceramic lamp,6months,*,field,35°15′S,149°27′E,700,17.1378,19.0813,0.3806,0.5329,5,5,μmol m-2 s-1
Eucalyptus pauciflora,Bruhn 2007,night,*,*,12.09,*,*,*,*,1.3,*,air,infrared ceramic lamp,6months,*,field,35°15′S,149°27′E,700,17.1378,20.4947,0.609,0.7612,5,5,μmol m-2 s-1
Eucalyptus pauciflora,Bruhn 2007,night,*,*,12.09,*,*,*,*,2.2,*,air,infrared ceramic lamp,6months,*,field,35°15′S,149°27′E,700,17.1378,15.2827,0.7612,0.8373,5,5,μmol m-2 s-1
Eucalyptus pauciflora,Bruhn 2007,night,*,*,12.09,*,*,*,*,0.3,*,air,infrared ceramic lamp,8months,*,field,35°15′S,149°27′E,700,17.0495,19.4346,0.5838,1.6218,5,5,μmol m-2 s-1
Eucalyptus pauciflora,Bruhn 2007,night,*,*,12.09,*,*,*,*,1.3,*,air,infrared ceramic lamp,8months,*,field,35°15′S,149°27′E,700,17.0495,17.8445,0.9056,0.3962,5,5,μmol m-2 s-1
Eucalyptus pauciflora,Bruhn 2007,night,*,*,12.09,*,*,*,*,2.2,*,air,infrared ceramic lamp,8months,*,field,35°15′S,149°27′E,700,17.0495,16.6078,0.2205,0.4567,5,5,μmol m-2 s-1
Eucalyptus sasligna,Ghannoum 2010,day/night,26,18,*,30,22,*,4,4,*,air,*,150days,*,pot,*,*,*,10.8936,10.8936,0.4724,0.8346,5,5,μmol m-2 s-1
Eucalyptus sasligna,Ghannoum 2011,day/night,26,18,*,30,22,*,4,4,*,air,*,150days,CO2,pot,*,*,*,16.3404,14.1277,0.0787,0.0472,5,5,μmol m-2 s-1
Eucalyptus sasligna,Ghannoum 2012,day/night,26,18,*,30,22,*,4,4,*,air,*,150days,CO2,pot,*,*,*,21.4468,14.9787,0.4567,0.3779,5,5,μmol m-2 s-1
Eucalyptus sideroxylon,Ghannoum 2013,day/night,26,18,*,30,22,*,4,4,*,air,*,150days,*,pot,*,*,*,18.8936,18.0426,0.1732,0.4409,5,5,μmol m-2 s-1
Eucalyptus sideroxylon,Ghannoum 2014,day/night,26,18,*,30,22,*,4,4,*,air,*,150days,CO2,pot,*,*,*,28.0851,28.2553,0.1426,0.1575,5,5,μmol m-2 s-1
Eucalyptus sideroxylon,Ghannoum 2015,day/night,26,18,*,30,22,*,4,4,*,air,*,150days,CO2,pot,*,*,*,39.1489,38.6383,0.063,0.2525,5,5,μmol m-2 s-1
Festuca arundinacea,Gielen 2007,day/night,*,*,9.6,*,*,*,*,*,3,air,climate-control chamber,2years,*,pot,51°09′,04°24′E,*,9.2135,9.3258,0.0472,0.252,3,3,μmol m-2 s-1
Globularia alypum,Llorens2003,night,*,*,17.5,*,*,*,*,0.7,*,air,covery,0-2years,*,field,41°18′N,1°49′E,210,3.4314,6.5686,0.126,0.0958,3,3,μmol m-2 s-1
Globularia alypum,Prieto 2009,night,*,*,15.2,*,*,*,*,0.7,*,air,reflective curtains,5years,*,field,41°18′N,1°49′E,210,6.5669,5.7637,0.313,0.4249,9,9,μmol m-2 s-1
Globularia alypum,Prieto 2009,night,*,*,15.2,*,*,*,*,0.7,*,air,reflective curtains,5years,*,field,41°18′N,1°49′E,210,7.5118,5.622,0.1789,0.3578,9,9,μmol m-2 s-1
Globularia alypum,Prieto 2009,night,*,*,15.2,*,*,*,*,0.7,*,air,reflective curtains,5years,*,field,41°18′N,1°49′E,210,2.4094,2.5039,0.2573,0.3002,9,9,μmol m-2 s-1
Globularia alypum,Prieto 2009,night,*,*,15.2,*,*,*,*,0.7,*,air,reflective curtains,5years,*,field,41°18′N,1°49′E,210,5.8582,5.5275,0.2573,0.1286,9,9,μmol m-2 s-1
Globularia alypum,Prieto 2009,night,*,*,15.2,*,*,*,*,0.7,*,air,reflective curtains,6years,*,field,41°18′N,1°49′E,210,3.1653,4.063,0.0858,0.1286,9,9,μmol m-2 s-1
Globularia alypum,Prieto 2009,night,*,*,15.2,*,*,*,*,0.7,*,air,reflective curtains,6years,*,field,41°18′N,1°49′E,210,3.1181,2.7874,0.1286,0.2144,9,9,μmol m-2 s-1
Globularia alypum,Prieto 2009,night,*,*,15.2,*,*,*,*,0.7,*,air,reflective curtains,7years,*,field,41°18′N,1°49′E,210,1.4173,3.4015,0.1286,0.0858,9,9,μmol m-2 s-1
Globularia alypum,Prieto 2009,night,*,*,15.2,*,*,*,*,0.7,*,air,reflective curtains,7years,*,field,41°18′N,1°49′E,210,2.5512,2.6929,0.0858,0.2573,9,9,μmol m-2 s-1
Globularia alypum,Prieto 2009,night,*,*,15.2,*,*,*,*,0.7,*,air,reflective curtains,7years,*,field,41°18′N,1°49′E,210,3.2126,3.685,0.0858,0.2573,9,9,μmol m-2 s-1
Helianthella quinquenervis,Lambrecht 2007,day/night,*,*,*,*,*,*,*,*,*,air,infrared heater,11---13years,*,field,38°57.5′N,106°59.3′W,2920,12.7,11.1,0.2573,0.1286,20,20,μmol m-2 s-1
Helianthella quinquenervis,Lambrecht 2007,day/night,*,*,*,*,*,*,*,*,*,air,infrared heater,11---13years,*,field,38°57.5′N,106°59.3′W,2920,9.2,10.3,0.3002,0.2144,20,20,μmol m-2 s-1
Helianthus mollis,Zhou 2007,day/night,*,*,16.3,*,*,*,*,*,1.1,air,infrared heater,1year,*,field,34°58′54″N,97°31′14″W,374,9.2437,7.8782,0.2573,0.0858,6,6,μmol m-2 s-1
Helianthus mollis,Zhou 2007,day/night,*,*,16.3,*,*,*,*,*,1.1,air,infrared heater,1year,*,field,34°58′54″N,97°31′14″W,374,9.1387,8.2983,0.0858,0.0858,6,6,μmol m-2 s-1
Helianthus mollis,Zhou 2007,day/night,*,*,16.3,*,*,*,*,*,1.1,air,infrared heater,1year,*,field,34°58′54″N,97°31′14″W,374,6.3025,3.9916,0.0858,0.0858,6,6,μmol m-2 s-1
